serial,AB,sentiment_polarity,sentiment_subjectivity,sentiment_category
58,"In this survey, we outline the impact fuzzy set theory had on artificial intelligence in games. Therefore, we will review fuzzy set related achievements in research and industrial applications alike. We will specifically address such topics as fuzzy game theory, fuzzy data analysis for real games, and the development of game AI agents using fuzzy models.",-0.2,0.4999999999999999,負面
135,"We investigate how AI introduction affects public entities at the micro-level, hence the roles, competences and tasks of the agents involved. In doing so, we rely on the organizational design theory and we focus on a specific AI solution (chatbot) implemented within a defined microstructure, the customer service department. Using data collected through six exploratory case studies, we show how the creation of an AI team becomes a novel form of organizing that solves the universal problems of organizing. Results confirm that AI implementation is a complex organizational challenge and suggest that artificial agents act similarly to human ones.",-0.15,0.2819444444444445,負面
138,"During the learning process, a child develops a mental representation of the task he or she is learning. A Machine Learning algorithm develops also a latent representation of the task it learns. We investigate the development of the knowledge construction of an artificial agent through the analysis of its behavior, i.e., its sequences of moves while learning to perform the Tower of Hanoi (TOH) task. The TOH is a well-known task in experimental contexts to study the problem-solving processes and one of the fundamental processes of children's knowledge construction about their world. We position ourselves in the field of explainable reinforcement learning for developmental robotics, at the crossroads of cognitive modeling and explainable AI. Our main contribution proposes a 3-step methodology named Implicit Knowledge Extraction with eXplainable Artificial Intelligence (IKE-XAI) to extract the implicit knowledge, in form of an automaton, encoded by an artificial agent during its learning. We showcase this technique to solve and explain the TOH task when researchers have only access to moves that represent observational behavior as in human-machine interaction. Therefore, to extract the agent acquired knowledge at different stages of its training, our approach combines: first, a Q-learning agent that learns to perform the TOH task; second, a trained recurrent neural network that encodes an implicit representation of the TOH task; and third, an XAI process using a post-hoc implicit rule extraction algorithm to extract finite state automata. We propose using graph representations as visual and explicit explanations of the behavior of the Q-learning agent. Our experiments show that the IKE-XAI approach helps understanding the development of the Q-learning agent behavior by providing a global explanation of its knowledge evolution during learning. IKE-XAI also allows researchers to identify the agent's Aha! moment by determining from what moment the knowledge representation stabilizes and the agent no longer learns. (C) 2022 The Author(s). Published by Elsevier Ltd.",-0.1064102564102564,0.4512820512820512,負面
152,"General video game playing aims at designing an agent that is capable of playing multiple video games with no human intervention. In 2014, the General Video Game Artificial Intelligence (GVGAI) competition framework was created and released with the purpose of providing researchers a common open-source and easy-to-use platform for testing their artificial intelligence (AI) methods with potentially infinity of games created using the video game description language (VGDL). The framework has been expanded into several tracks during the last few years to meet the demands of different research directions. The agents are required either to play multiple unknown games with or without access to game simulations, or to design new game levels or rules. This survey paper presents the VGDL, the GVGAI framework, existing tracks, and reviews the wide use of GVGAI framework in research, education, and competitions five years after its birth. A future plan of framework improvements is also described.",-0.1505928853754941,0.4063570487483531,負面
235,"While artificial intelligence (AI) service failure is inevitable in tourism and hospitality, scholarly attention to it is limited. This study investigated how the type of humor (self-deprecating or self-enhancing) that AI agents adopt interacted with the service context (hedonic-dominant or utilitarian-dominant) in influencing customers' intentions to continue using AI devices. Findings indicate that in hedonic-dominant service contexts, self-deprecating and self-enhancing humor increase continuous usage intention; in utilitarian-dominant service contexts, only self-deprecating humor boosts continuous usage intention. Results also reveal the mediating roles of positive emotion and inferred negative motives along with the moderating effect of anthropomorphism. This study enriches theories on AI service recovery and offers tourism firms suggestions on how to use humor to resolve AI service failures.(c) 2023 Elsevier Ltd. All rights reserved.",-0.1201028138528138,0.548538961038961,負面
315,The FX-Project consisted of members of the Stanford Logic Group industrial visitors from NEC and Intec Web & Genome working together to develop a new technologies based upon the combination of web services and techniques from artificial intelligence using our experience in AI-based software agents. This two-year project ran from April of 2001 until the end of March 2002 and explored the then emerging functionality of web services. This paper is a result of our findings.,-0.2318181818181818,0.7272727272727273,負面
372,"In recent years, marketers have placed increased reliance upon artificial intelligence (AI) and, subsequently, the use of virtual agents in customer service contexts is on the rise. Despite such service digitalization, service can still fail. While there is an increasing literature on the effect of virtual agents in service settings, questions remain as to how customers react to service failure that results from interactions with virtual service agents. To this end, we deconstruct the effect of virtual agent service failure across two studies: one involving a process service failure and another involving an outcome service failure. We specifically manipulate the type of service agent that causes the service failure (human vs. virtual agent) and the magnitude of the failure (small vs. large). Results show that firms can leverage virtual service agents to mitigate or buffer the negative effects of service failure. From a managerial perspective, our findings suggest that firms could engage virtual service agents in situations where there may be a risk of outcome service failure-particularly in settings where relatively large magnitude failures may be experienced. In such a setting, we find that virtual service agents can mitigate the negative effects of service failure, more so than when the failure results from an interaction with a human service agent.",-0.1279761904761903,0.3732142857142858,負面
378,"In developing artificial intelligence (AI), researchers often benchmark against human performance as a measure of progress. Is this kind of comparison possible for moral cognition? Given that human moral judgment often hinges on intangible properties like ""intention"" which may have no natural analog in artificial agents, it may prove difficult to design a ""like-for-like"" comparison between the moral behavior of artificial and human agents. What would a measure of moral behavior for both humans and AI look like? We unravel the complexity of this question by discussing examples within reinforcement learning and generative AI, and we examine how the puzzle of evaluating artificial agents' moral cognition remains open for further investigation within cognitive science.",-0.1305555555555555,0.5472222222222222,負面
385,"An Industrial Cyber-physical System (ICPS) provides a digital foundation for data-driven decision-making by artificial intelligence (AI) models. However, the poor data quality (e.g., inconsistent distribution, imbalanced classes) of high-speed, large-volume data streams poses significant challenges to the online deployment of offline-trained AI models. As an alternative, updating AI models online based on streaming data enables continuous improvement and resilient modeling performance. However, for a supervised learning model (i.e., a base learner), it is labor-intensive to annotate all streaming samples to update the model. Hence, a data acquisition method is needed to select the data for annotation to ensure data quality while saving annotation efforts. In the literature, active learning methods have been proposed to acquire informative samples. Different acquisition criteria were developed for exploration of under-represented regions in the input variable space or exploitation of the well-represented regions for optimal estimation of base learners. However, it remains a challenge to balance the exploration-exploitation trade-off under different online annotation scenarios. On the other hand, an acquisition criterion learned by AI adapts itself to a scenario dynamically, but the ambiguous consideration of the trade-off limits its performance in frequently changing manufacturing contexts. To overcome these limitations, we propose an ensemble active learning method by contextual bandits (CbeAL). CbeAL incorporates a set of active learning agents (i.e., acquisition criteria) explicitly designed for exploration or exploitation by a weighted combination of their acquisition decisions. The weight of each agent will be dynamically adjusted based on the usefulness of its decisions to improve the performance of the base learner. With adaptive and explicit consideration of both objectives, CbeAL efficiently guides the data acquisition process by selecting informative samples to reduce the human annotation efforts. Furthermore, we characterize the exploration and exploitation capability of the proposed agents theoretically. The evaluation results in a numerical simulation study and a real case study demonstrates the effectiveness and efficiency of CbeAL in manufacturing process modeling of the ICPS.",-0.1749999999999999,0.5527777777777777,負面
403,"AI-based technologies are increasingly pervasive in a number of contexts. Our affective and emotional life makes no exception. In this article, we analyze one way in which AI-based technologies can affect them. In particular, our investigation will focus on affective artificial agents, namely AI-powered software or robotic agents designed to interact with us in affectively salient ways. We build upon the existing literature on affective artifacts with the aim of providing an original analysis of affective artificial agents and their distinctive features. We argue that, unlike comparatively low-tech affective artifacts, affective artificial agents display a specific form of agency, which prevents them from being perceived by their users as extensions of their selves. In addition to this, we claim that their functioning crucially depends on the simulation of human-like emotion-driven behavior and requires a distinctive form of transparency-we call it emotional transparency-that might give rise to ethical and normative tensions.",-0.1053030303030303,0.6643939393939394,負面
